ID,IMG,Time,X,Y
0,0,1.949472,1034,1233
1,0,1.965142,908,795
2,0,1.981706,852,637
3,0,1.998275,826,555
4,0,2.015193,825,553
5,0,2.031763,831,566
6,0,2.048768,829,577
7,0,2.064882,814,581
8,0,2.081137,801,582
9,0,2.09777,797,577
10,0,2.114429,806,571
11,0,2.130835,825,562
12,0,2.147405,833,557
13,0,2.164362,831,559
14,0,2.180903,832,562
15,0,2.197537,840,566
16,0,2.214105,853,566
17,0,2.230714,871,564
18,0,2.247641,888,574
19,0,2.263838,929,599
20,0,2.280425,947,611
21,0,2.296474,968,627
22,0,2.31355,970,628
23,0,2.330073,963,629
24,0,2.346827,962,630
25,0,2.363388,968,631
26,0,2.379948,971,635
27,0,2.39637,962,643
28,0,2.412863,952,645
29,0,2.43005,936,636
30,0,2.446114,909,606
31,0,2.46271,846,526
32,0,2.479212,785,476
33,0,2.495786,678,395
34,0,2.512441,641,367
35,0,2.529009,618,351
36,0,2.545404,616,334
37,0,2.562173,614,335
38,0,2.578547,612,344
39,0,2.595231,613,346
40,0,2.611702,615,349
41,0,2.628831,617,348
42,0,2.645182,619,350
43,0,2.662292,619,353
44,0,2.678353,626,363
45,0,2.694147,628,380
46,0,2.710946,625,397
47,0,2.7273,624,400
48,0,2.744333,621,387
49,0,2.760948,626,377
50,0,2.777114,718,332
51,0,2.794049,691,332
52,0,2.810582,671,342
53,0,2.827165,671,357
54,0,2.843585,665,396
55,0,2.860199,666,414
56,0,2.876746,659,413
57,0,2.893286,646,397
58,0,2.909854,621,380
59,0,2.926472,618,388
60,0,2.942986,602,417
61,0,2.959564,584,455
62,0,2.975687,604,475
63,0,2.992984,604,475
64,0,3.009255,604,475
65,0,3.025838,513,571
66,0,3.042397,569,544
67,0,3.058969,613,513
68,0,3.075537,682,462
69,0,3.092147,727,429
70,0,3.108886,737,408
71,0,3.125433,738,401
72,0,3.141806,739,403
73,0,3.158523,741,402
74,0,3.175056,739,401
75,0,3.191214,735,399
76,0,3.207797,695,424
77,0,3.224363,679,423
78,0,3.24085,645,418
79,0,3.257855,629,415
80,0,3.274479,606,421
81,0,3.29103,609,427
82,0,3.307977,612,432
83,0,3.324096,610,428
84,0,3.340683,605,420
85,0,3.3576,607,420
86,0,3.373812,615,443
87,0,3.390707,617,454
88,0,3.406553,608,454
89,0,3.423449,602,442
90,0,3.440022,618,416
91,0,3.456586,632,415
92,0,3.47316,637,421
93,0,3.489894,625,427
94,0,3.506406,695,437
95,0,3.522959,801,441
96,0,3.539495,1010,458
97,0,3.555682,1041,469
98,0,3.572671,1052,479
99,0,3.589661,1051,480
100,0,3.606178,1061,484
101,0,3.62226,1065,491
102,0,3.638547,1064,492
103,0,3.655529,1061,496
104,0,3.671696,1066,491
105,0,3.688204,1083,487
106,0,3.704776,1092,485
107,0,3.721338,1096,473
108,0,3.738226,1091,465
109,0,3.75479,1077,456
110,0,3.771314,1072,458
111,0,3.787726,1066,462
112,0,3.80431,1066,459
113,0,3.820836,1069,455
114,0,3.837241,1068,456
115,0,3.854182,1065,463
116,0,3.870753,1064,463
117,0,3.887003,1065,459
118,0,3.90388,1057,463
119,0,3.920504,1009,522
120,0,3.937091,986,560
121,0,3.953601,949,624
122,0,3.969851,949,627
123,0,3.986407,947,628
124,0,4.003431,944,625
125,0,4.019903,940,623
126,0,4.036552,936,622
127,0,4.052554,931,619
128,0,4.069128,932,619
129,0,4.085717,938,621
130,0,4.102273,939,620
131,0,4.119197,936,611
132,0,4.135644,933,606
133,0,4.152406,930,602
134,0,4.169204,928,598
135,0,4.185746,927,591
136,0,4.201835,926,590
137,0,4.218334,923,593
138,0,4.235056,924,597
139,0,4.251619,929,595
140,0,4.268156,934,596
141,0,4.284683,938,603
142,0,4.301231,936,605
143,0,4.317754,936,604
144,0,4.334713,935,602
145,0,4.35172,934,596
146,0,4.367802,933,599
147,0,4.384375,931,601
148,0,4.400927,933,599
149,0,4.41751,931,620
150,0,4.434461,929,633
151,0,4.45065,926,652
152,0,4.467203,923,649
153,0,4.484094,921,637
154,0,4.500341,916,637
155,0,4.516488,909,642
156,0,4.532986,906,639
157,0,4.549795,902,626
158,0,4.566082,907,622
159,0,4.582656,909,614
160,0,4.599262,896,624
161,0,4.615816,870,642
162,0,4.632766,866,651
163,0,4.649405,864,665
164,0,4.665888,869,666
165,0,4.682467,954,662
166,0,4.69901,954,662
167,0,4.715696,954,662
168,0,4.73225,954,662
169,0,4.748487,954,662
170,0,4.765431,1192,1317
171,0,4.782427,1024,1020
172,0,4.798944,985,965
173,0,4.815097,976,903
174,0,4.831629,947,762
175,0,4.847842,942,698
176,0,4.864402,950,626
177,0,4.880974,952,613
178,0,4.897445,953,608
179,0,4.914001,953,607
180,0,4.930603,953,607
181,0,4.947173,955,607
182,0,4.963851,956,608
183,0,4.980282,956,608
184,0,4.997237,954,610
185,0,5.013794,955,609
186,0,5.030367,950,602
187,0,5.046929,941,597
188,0,5.063531,924,592
189,0,5.079711,916,592
190,0,5.096263,925,603
191,0,5.112819,932,608
192,0,5.129402,943,613
193,0,5.145968,949,617
194,0,5.162482,952,620
195,0,5.179045,957,622
196,0,5.196165,960,617
197,0,5.213031,956,612
198,0,5.228934,942,608
199,0,5.245779,933,607
200,0,5.262075,932,616
201,0,5.278633,934,621
202,0,5.295213,936,621
203,0,5.311674,935,618
204,0,5.328196,930,611
205,0,5.344742,930,609
206,0,5.361353,940,615
207,0,5.378016,944,616
208,0,5.394543,935,603
209,0,5.411095,927,596
210,0,5.4277,918,597
211,0,5.444303,916,599
212,0,5.460866,926,611
213,0,5.477807,934,618
214,0,5.494399,938,620
215,0,5.510425,937,619
216,0,5.527026,923,610
217,0,5.543582,915,606
218,0,5.56016,914,610
219,0,5.576668,911,613
220,0,5.593385,911,612
221,0,5.610031,915,610
222,0,5.627092,925,600
223,0,5.643345,928,595
224,0,5.660229,930,601
225,0,5.676325,932,608
226,0,5.692965,934,615
227,0,5.709415,941,663
228,0,5.725802,931,760
229,0,5.742339,918,822
230,0,5.758892,903,909
231,0,5.775547,895,948
232,0,5.792169,841,1045
233,0,5.808702,841,1045
234,0,5.825698,1028,719
235,0,5.842183,989,795
236,0,5.858314,986,790
237,0,5.874885,981,750
238,0,5.891446,978,731
239,0,5.908018,982,685
240,0,5.925003,985,667
241,0,5.941619,982,663
242,0,5.958148,980,662
243,0,5.975066,969,651
244,0,5.992082,967,646
245,0,6.007526,974,646
246,0,6.024082,982,651
247,0,6.040524,988,661
248,0,6.057129,985,661
249,0,6.073664,965,651
250,0,6.090255,955,647
251,0,6.107552,937,644
252,0,6.1239,934,647
253,0,6.140451,924,657
254,0,6.157504,919,661
255,0,6.173534,916,663
256,0,6.190114,914,662
257,0,6.206663,914,657
258,0,6.22288,915,658
259,0,6.239447,929,669
260,0,6.256383,935,675
261,0,6.272912,930,672
262,0,6.289518,922,666
263,0,6.305608,924,669
264,0,6.322229,931,676
265,0,6.338735,947,687
266,0,6.355301,948,684
267,0,6.372275,951,679
268,0,6.3891,952,680
269,0,6.40545,951,685
270,0,6.42206,950,688
271,0,6.438777,928,676
272,0,6.455291,917,668
273,0,6.471848,917,666
274,0,6.4884,927,671
275,0,6.504965,954,683
276,0,6.521591,957,684
277,0,6.537592,959,686
278,0,6.554154,958,687
279,0,6.570745,954,687
280,0,6.587745,953,686
281,0,6.603953,952,684
282,0,6.620533,952,684
283,0,6.637446,952,678
