ID,IMG,Time,X,Y
0,0,1.724827,870,599
1,0,1.740448,870,600
2,0,1.757147,870,601
3,0,1.773592,871,602
4,0,1.790512,871,602
5,0,1.807066,871,600
6,0,1.823369,870,596
7,0,1.839895,870,594
8,0,1.856359,869,595
9,0,1.872942,870,596
10,0,1.890019,871,595
11,0,1.906561,871,594
12,0,1.923141,879,596
13,0,1.939709,894,600
14,0,1.956477,935,612
15,0,1.972446,957,617
16,0,1.989031,975,622
17,0,2.005585,976,623
18,0,2.022172,975,626
19,0,2.03873,975,627
20,0,2.055756,975,629
21,0,2.072288,975,631
22,0,2.08894,975,632
23,0,2.105364,979,617
24,0,2.122089,984,592
25,0,2.138529,998,514
26,0,2.154702,1003,476
27,0,2.171275,1008,436
28,0,2.18785,1008,433
29,0,2.204787,1009,434
30,0,2.221364,1010,435
31,0,2.237915,1009,437
32,0,2.25449,1008,438
33,0,2.270925,1008,437
34,0,2.287242,1007,436
35,0,2.304049,1012,431
36,0,2.320573,1019,427
37,0,2.337505,1036,418
38,0,2.354054,1045,412
39,0,2.370588,1052,404
40,0,2.387134,1052,402
41,0,2.403665,1053,400
42,0,2.42036,1053,400
43,0,2.436731,1053,399
44,0,2.4533,1052,399
45,0,2.469859,1053,400
46,0,2.485898,1052,402
47,0,2.502541,1046,409
48,0,2.519508,1033,425
49,0,2.536164,959,513
50,0,2.552714,909,570
51,0,2.569231,821,674
52,0,2.585448,797,702
53,0,2.601868,784,716
54,0,2.618452,783,717
55,0,2.635432,782,718
56,0,2.651977,782,717
57,0,2.66855,781,716
58,0,2.685122,780,716
59,0,2.701887,779,716
60,0,2.717918,779,716
61,0,2.734489,779,714
62,0,2.750998,780,713
63,0,2.767662,781,711
64,0,2.784568,781,710
65,0,2.801182,782,708
66,0,2.817735,782,708
67,0,2.833945,782,707
68,0,2.850466,782,707
69,0,2.867031,788,706
70,0,2.883541,804,705
71,0,2.900595,876,697
72,0,2.917053,917,692
73,0,2.933676,975,681
74,0,2.950191,984,677
75,0,2.966846,982,675
76,0,2.983329,981,675
77,0,3.000001,981,675
78,0,3.016065,980,674
79,0,3.032639,981,674
80,0,3.049174,982,675
81,0,3.065954,982,675
82,0,3.082381,982,675
83,0,3.098915,981,674
84,0,3.115859,980,674
85,0,3.132492,980,675
86,0,3.148654,976,676
87,0,3.165229,969,672
88,0,3.181791,949,655
89,0,3.198348,939,646
90,0,3.215405,928,635
91,0,3.231489,928,635
92,0,3.248059,929,635
93,0,3.264611,929,634
94,0,3.281133,931,634
95,0,3.297663,931,634
96,0,3.314302,932,635
97,0,3.330811,933,634
98,0,3.347813,947,615
99,0,3.364351,958,600

100,0,3.380925,978,568
101,0,3.397478,983,557
102,0,3.413653,985,549
103,0,3.430206,985,549
104,0,3.446962,983,550
105,0,3.463344,984,551
106,0,3.479972,986,550
107,0,3.496884,987,550
108,0,3.513466,988,550
109,0,3.530025,988,550
110,0,3.546606,989,551
111,0,3.562841,989,551
112,0,3.579411,991,549
113,0,3.595943,991,548
114,0,3.612451,1004,537
115,0,3.629035,1023,524
116,0,3.645595,1070,488
117,0,3.662133,1090,471
118,0,3.678895,1110,454
119,0,3.695262,1111,453
120,0,3.712255,1111,455
121,0,3.728823,1111,456
122,0,3.74507,1112,456
123,0,3.761631,1111,455
124,0,3.778132,1111,456
125,0,3.795183,1111,456
126,0,3.811932,1112,455
127,0,3.828495,1113,454
128,0,3.845031,1123,447
129,0,3.861556,1133,440
130,0,3.878108,1154,426
131,0,3.894238,1160,422
132,0,3.91076,1166,422
133,0,3.927252,1167,423
134,0,3.944324,1168,423
135,0,3.960856,1167,423
136,0,3.977512,1166,420
137,0,3.993985,1165,419
138,0,4.010097,1165,421
139,0,4.026656,1157,419
140,0,4.04324,1124,411
141,0,4.059777,1105,406
142,0,4.076604,1074,395
143,0,4.092872,1070,393
144,0,4.109687,1068,390
145,0,4.126254,1065,389
146,0,4.142627,1064,389
147,0,4.159556,1063,390
148,0,4.176453,1063,390
