ID,IMG,Time,X,Y
24100,9,417.807,984,656
24101,9,417.8244,985,653
24102,9,417.8406,984,651
24103,9,417.8568,981,652
24104,9,417.8733,980,652
24105,9,417.8907,979,650
24106,9,417.9065,980,649
24107,9,417.9233,981,648
24108,9,417.9397,981,649
24109,9,417.9562,980,652
24110,9,417.9729,981,652
24111,9,417.9893,982,649
24112,9,418.0059,982,646
24113,9,418.0227,980,645
24114,9,418.0391,979,646
24115,9,418.0555,976,652
24116,9,418.0723,975,654
24117,9,418.0888,976,652
24118,9,418.1063,977,651
24119,9,418.1218,976,654
24120,9,418.1384,976,656
24121,9,418.1552,977,659
24122,9,418.1715,977,658
24123,9,418.188,977,656
24124,9,418.2047,978,656
24125,9,418.2212,978,654
24126,10,418.2377,977,653
24127,10,418.2543,977,651
24128,10,418.2711,976,651
24129,10,418.2874,974,651
24130,10,418.304,973,653
24131,10,418.321,975,653
24132,10,418.3372,975,651
24133,10,418.3538,973,646
24134,10,418.3704,972,643
24135,10,418.3868,973,645
24136,10,418.4036,974,649
24137,10,418.4201,975,651
24138,10,418.4367,976,651
24139,10,418.4534,977,649
24140,10,418.4705,977,648
24141,10,418.4866,976,645
24142,10,418.5028,976,644
24143,10,418.5196,974,645
24144,10,418.5359,973,646
24145,10,418.5526,971,648
24146,10,418.5691,971,647
24147,10,418.5858,972,645
24148,10,418.6022,974,644
24149,10,418.6194,977,643
24150,10,418.6353,979,642
24151,10,418.6521,978,642
24152,10,418.669,977,642
24153,10,418.6852,977,641
24154,10,418.7019,975,640
24155,10,418.7183,971,642
24156,10,418.7347,936,666
24157,10,418.752,872,707
24158,10,418.768,843,727
24159,10,418.7846,819,742
24160,10,418.8013,809,746
24161,10,418.8179,809,746
24162,10,418.8341,807,742
24163,10,418.8509,806,741
24164,10,418.8673,803,740
24165,10,418.8838,804,740
24166,10,418.9004,857,722
24167,10,418.9172,917,701
24168,10,418.9335,1051,652
24169,10,418.9502,1110,632
24170,10,418.9667,1151,618
24171,10,418.9839,1155,616
24172,10,418.9998,1155,617
24173,10,419.0164,1155,617
24174,10,419.0332,1153,619
24175,10,419.0496,1151,620
24176,10,419.0669,1148,619
24177,10,419.0826,1148,619
24178,10,419.0992,1150,621
24179,10,419.1158,1142,630
24180,10,419.1326,1070,700
24181,10,419.149,1016,750
24182,10,419.1654,1016,750
24183,10,419.1821,969,794
24184,10,419.1986,969,794
24185,10,419.2151,969,794
24186,10,419.2317,969,794
24187,10,419.2489,969,794
24188,10,419.2649,810,691
24189,10,419.282,779,638
24190,10,419.2982,775,610
24191,10,419.3147,757,541
24192,10,419.3314,738,491
24193,10,419.3477,721,437
24194,10,419.3646,718,436
24195,10,419.3808,716,438
24196,10,419.3974,715,439
24197,10,419.414,715,441
24198,10,419.4305,713,441
24199,10,419.4473,701,430

24200,10,419.4638,694,420
24201,10,419.4803,682,407
24202,10,419.4973,681,404
24203,10,419.5134,678,396
24204,10,419.5299,676,389
24205,10,419.5467,669,367
24206,10,419.5635,667,359
24207,10,419.5797,667,354
24208,10,419.5963,668,355
24209,10,419.6128,669,358
24210,10,419.6293,669,359
24211,10,419.6464,669,361
24212,10,419.6625,669,360
24213,10,419.6797,668,358
24214,10,419.6961,667,358
24215,10,419.7127,668,359
24216,10,419.7288,669,359
24217,10,419.7453,669,358
24218,10,419.7619,669,358
24219,10,419.7784,667,357
24220,10,419.795,666,357
24221,10,419.8119,669,360
24222,10,419.8281,671,361
24223,10,419.8447,673,361
24224,10,419.8613,673,360
24225,10,419.878,673,358
24226,10,419.8951,673,360
24227,10,419.911,675,367
24228,10,419.9276,674,370
24229,10,419.9446,668,368
