ID,IMG,Time,X,Y
41000,16,681.7769,934,548
41001,16,681.7936,936,548
41002,16,681.8101,936,548
41003,16,681.8267,931,546
41004,16,681.8432,919,540
41005,16,681.8598,880,514
41006,16,681.8763,861,499
41007,16,681.8929,838,480
41008,16,681.9095,838,479
41009,16,681.9264,840,482
41010,16,681.9426,840,483
41011,16,681.9592,839,484
41012,16,681.9758,837,484
41013,16,681.9924,838,485
41014,17,682.0363,844,489
41015,17,682.0527,844,490
41016,17,682.0695,842,490
41017,17,682.0859,838,490
41018,17,682.1025,837,490
41019,17,682.1191,839,489
41020,17,682.136,840,489
41021,17,682.1522,841,489
41022,17,682.1687,841,490
41023,17,682.1852,839,492
41024,17,682.2023,840,493
41025,17,682.2183,841,494
41026,17,682.2349,840,495
41027,17,682.2515,839,495
41028,17,682.268,838,496
41029,17,682.2847,838,497
41030,17,682.3011,841,500
41031,17,682.3177,873,526
41032,17,682.3344,899,548
41033,17,682.3508,943,587
41034,17,682.3674,957,600
41035,17,682.384,959,605
41036,17,682.4006,959,605
41037,17,682.4172,961,605
41038,17,682.4341,961,606
41039,17,682.4507,962,608
41040,17,682.4672,964,610
41041,17,682.4838,966,614
41042,17,682.5004,966,615
41043,17,682.517,966,615
41044,17,682.5335,966,615
41045,17,682.5501,967,615
41046,17,682.567,967,616
41047,17,682.5831,969,617
41048,17,682.5994,965,618
41049,17,682.616,945,621
41050,17,682.6325,932,622
41051,17,682.649,910,622
41052,17,682.6656,905,622
41053,17,682.6827,904,622
41054,17,682.6992,904,623
41055,17,682.7157,905,626
41056,17,682.7325,903,626
41057,17,682.749,901,620
41058,17,682.7651,902,618
41059,17,682.7816,903,616
41060,17,682.7982,903,616
41061,17,682.8148,903,616
41062,17,682.8313,900,618
41063,17,682.848,887,639
41064,17,682.8648,877,656
41065,17,682.8814,860,688
41066,17,682.8976,856,697
41067,17,682.9144,855,698
41068,17,682.9306,852,697
41069,17,682.9474,850,696
41070,17,682.9641,849,695
41071,17,682.9803,850,692
41072,17,682.9972,850,691
41073,17,683.0135,848,690
41074,17,683.0304,860,688
41075,17,683.0473,917,675
41076,17,683.0634,951,667
41077,17,683.08,1007,652
41078,17,683.0969,1019,648
41079,17,683.1135,1021,645
41080,17,683.1297,1026,641
41081,17,683.1463,1027,641
41082,17,683.1627,1030,638
41083,17,683.1793,1031,636
41084,17,683.1958,1034,635
41085,17,683.2123,1040,634
41086,17,683.2289,1062,630
41087,17,683.2455,1075,627
41088,17,683.262,1098,619
41089,17,683.2789,1100,615
41090,17,683.2952,1098,616
41091,17,683.3117,1094,618
41092,17,683.3282,1089,618
41093,17,683.3448,1090,616
41094,17,683.3618,1078,600
41095,17,683.378,1060,580
41096,17,683.3948,1005,528
41097,17,683.4111,978,503
41098,17,683.4277,958,477
41099,17,683.4443,959,476

41100,17,683.4609,959,472
41101,17,683.4774,961,469
41102,17,683.494,962,462
41103,17,683.5106,959,458
41104,17,683.5272,954,455
41105,17,683.5437,952,456
41106,17,683.5602,953,461
41107,17,683.5768,956,462
41108,17,683.5933,958,461
41109,17,683.6099,958,460
41110,17,683.6265,957,463
41111,17,683.6438,956,466
41112,17,683.6604,959,469
41113,17,683.6766,967,461
41114,17,683.6932,990,429
41115,17,683.7097,1001,412
41116,17,683.7263,1016,391
41117,17,683.743,1018,388
41118,17,683.7596,1018,394
41119,17,683.776,1019,396
41120,17,683.7922,1019,403
41121,17,683.8088,1018,406
41122,17,683.8254,1019,409
41123,17,683.8419,1020,410
41124,17,683.8585,1022,410
41125,17,683.8751,1024,412
41126,17,683.8916,1027,417
41127,17,683.9081,1028,419
41128,17,683.9247,1027,423
41129,17,683.9412,1024,424
41130,17,683.9579,1020,426
41131,17,683.9748,1019,428
41132,17,683.9915,1019,430
41133,17,684.0075,1018,432
41134,17,684.0242,1017,433
41135,17,684.0406,1016,438
41136,17,684.0573,1010,439
41137,17,684.0739,984,439
41138,17,684.0905,969,437
41139,17,684.1069,943,439
41140,17,684.1235,937,441
41141,17,684.14,938,447
41142,17,684.1567,939,451
41143,17,684.1732,941,455
41144,17,684.1898,940,456
41145,17,684.2064,937,459
41146,17,684.223,935,461
41147,17,684.2395,936,464
41148,17,684.256,935,465
41149,17,684.2726,936,470
41150,17,684.2892,937,472
41151,17,684.3058,941,475
41152,17,684.3223,943,477
41153,17,684.339,942,482
41154,17,684.3554,941,484
41155,17,684.3719,940,487
41156,17,684.3885,941,487
41157,17,684.4052,942,492
41158,17,684.4217,942,501
41159,17,684.4382,940,529
41160,17,684.4548,938,544
41161,17,684.4714,942,563
41162,17,684.488,945,566
41163,17,684.5045,949,569
41164,17,684.5211,948,571
41165,17,684.5377,944,573
41166,17,684.5543,943,573
41167,17,684.5708,941,573
41168,17,684.5874,940,575
41169,17,684.6041,940,578
41170,17,684.6205,942,579
41171,17,684.6371,945,583
41172,17,684.6537,946,584
41173,17,684.6702,946,586
41174,17,684.6871,946,587
41175,17,684.7037,947,585
41176,17,684.7203,948,585
41177,17,684.7369,947,585
41178,17,684.7531,946,587
41179,17,684.7696,943,590
41180,17,684.7862,943,590
41181,17,684.8028,945,589
41182,17,684.824,946,588
41183,17,684.8359,949,587
41184,17,684.8525,949,588
41185,17,684.8691,949,591
41186,17,684.8856,950,592
41187,17,684.9026,952,595
41188,17,684.9191,952,595
41189,17,684.9353,952,595
41190,17,684.9518,952,595
41191,17,684.9684,931,595
41192,17,684.9849,905,597
41193,17,685.0015,838,603
41194,17,685.0181,810,607
41195,17,685.0349,791,610
41196,17,685.0516,783,616
