ID,IMG,Time,X,Y
14400,5,240.2804,1111,732
14401,5,240.2969,1111,732
14402,5,240.3135,1111,733
14403,5,240.3301,1110,736
14404,5,240.3466,1109,739
14405,5,240.3634,1107,740
14406,5,240.3797,1107,740
14407,5,240.3968,1109,740
14408,5,240.4129,1111,741
14409,5,240.4295,1112,745
14410,5,240.446,1111,748
14411,5,240.4627,1109,752
14412,5,240.4794,1109,754
14413,5,240.496,1110,755
14414,5,240.5124,1111,755
14415,5,240.529,1110,755
14416,5,240.5454,1107,757
14417,5,240.5624,1101,755
14418,5,240.5785,1097,754
14419,5,240.5952,1095,752
14420,5,240.6119,1097,748
14421,5,240.6282,1099,748
14422,5,240.6453,1105,748
14423,5,240.6613,1105,748
14424,5,240.6781,1107,750
14425,5,240.6946,1108,750
14426,5,240.7112,1111,753
14427,5,240.7276,1112,754
14428,5,240.7443,1114,754
14429,5,240.7611,1112,754
14430,5,240.7775,1108,753
14431,5,240.794,1106,753
14432,5,240.8106,1104,752
14433,5,240.8271,1104,752
14434,5,240.8436,1106,752
14435,5,240.8604,1107,753
14436,5,240.8768,1106,757
14437,5,240.8933,1105,759
14438,5,240.9099,1103,762
14439,5,240.9264,1102,762
14440,5,240.943,1103,760
14441,5,240.96,1103,758
14442,5,240.9765,1100,753
14443,5,240.9927,1099,751
14444,5,241.0093,1097,750
14445,5,241.0265,1098,750
14446,5,241.0425,1099,753
14447,5,241.059,1100,753
14448,5,241.0755,1102,753
14449,5,241.0921,1103,752
14450,5,241.1087,1106,751
14451,5,241.1252,1107,751
14452,5,241.1421,1106,752
14453,5,241.1584,1102,753
14454,5,241.1755,1097,756
14455,5,241.1915,1097,758
14456,5,241.2085,1098,761
14457,5,241.2247,1098,762
14458,5,241.2415,1094,760
14459,5,241.2578,1093,757
14460,5,241.2744,1095,752
14461,5,241.291,1097,752
14462,5,241.3076,1100,752
14463,5,241.3241,1102,752
14464,5,241.3406,1103,751
14465,5,241.3573,1102,751
