ID,IMG,Time,X,Y
7200,2,120.9273,1212,567
7201,2,120.9439,1212,567
7202,2,120.9603,1212,567
7203,2,120.977,1212,567
7204,2,120.9935,1204,569
7205,2,121.0103,1206,569
7206,2,121.0267,1207,568
7207,2,121.0432,1208,568
7208,2,121.0598,1207,567
7209,2,121.0766,1205,568
7210,2,121.0931,1205,568
7211,2,121.1096,1205,569
7212,2,121.1263,1205,569
7213,2,121.1426,1205,569
7214,2,121.1593,1205,568
7215,2,121.1759,1205,567
7216,2,121.1925,1205,567
7217,2,121.2091,1205,568
7218,2,121.2256,1205,571
7219,2,121.2421,1204,576
7220,2,121.2587,1203,577
7221,2,121.2754,1191,592
7222,2,121.2917,1179,606
7223,2,121.3083,1154,629
7224,2,121.3251,1146,636
7225,2,121.3415,1140,638
7226,2,121.3582,1140,639
7227,2,121.3746,1141,637
7228,2,121.3912,1143,636
7229,2,121.4079,1143,637
7230,2,121.4245,1142,638
7231,2,121.4409,1141,643
7232,2,121.4574,1140,644
7233,2,121.474,1140,644
7234,2,121.4911,1140,644
7235,2,121.5078,1138,640
7236,3,121.524,1137,638
7237,3,121.5404,1135,640
7238,3,121.5572,1135,643
7239,3,121.5735,1138,643
7240,3,121.5902,1144,632
7241,3,121.6065,1162,599
7242,3,121.6234,1171,582
7243,3,121.6398,1182,562
7244,3,121.6563,1183,560
7245,3,121.6727,1183,562
7246,3,121.6896,1180,563
7247,3,121.7059,1185,571
7248,3,121.7231,1184,575
7249,3,121.739,1183,576
7250,3,121.7558,1183,573
7251,3,121.7722,1185,567
7252,3,121.789,1186,567
7253,3,121.8054,1185,561
7254,3,121.822,1184,566
7255,3,121.8386,1182,567
7256,3,121.8551,1175,565
7257,3,121.8721,1131,576
7258,3,121.8885,1084,590
7259,3,121.9047,986,615
7260,3,121.9214,956,620
7261,3,121.9379,920,620
7262,3,121.9544,920,618
7263,3,121.9712,919,616
7264,3,121.9879,920,619
7265,3,122.0041,919,622
7266,3,122.0206,918,623
7267,3,122.0376,919,624
7268,3,122.0538,920,624
7269,3,122.0708,923,623
7270,3,122.0869,924,622
7271,3,122.104,923,621
7272,3,122.12,922,623
7273,3,122.1366,921,626
7274,3,122.1531,920,625
7275,3,122.1697,920,624
7276,3,122.1863,920,623
7277,3,122.2032,921,624
7278,3,122.2194,921,626
7279,3,122.236,922,628
7280,3,122.2525,914,617
