ID,IMG,Time,X,Y
24100,9,401.0106,673,343
24101,9,401.0275,671,342
24102,9,401.0438,671,342
24103,9,401.0605,670,342
24104,9,401.0769,670,342
24105,9,401.0936,670,341
24106,9,401.11,669,339
24107,9,401.1267,668,339
24108,9,401.1432,661,339
24109,9,401.1599,658,338
24110,9,401.1763,653,336
24111,9,401.1929,652,335
24112,9,401.2095,653,335
24113,9,401.226,653,335
24114,9,401.2425,653,333
24115,9,401.26,653,331
24116,9,401.2759,654,327
24117,9,401.2925,654,326
24118,9,401.3088,655,325
24119,9,401.3255,655,326
24120,9,401.342,655,329
24121,9,401.3586,655,330
24122,9,401.3751,655,329
24123,9,401.3917,656,328
24124,9,401.4082,655,327
24125,9,401.4251,654,327
24126,9,401.4413,651,328
24127,9,401.4579,650,329
24128,9,401.4745,652,329
24129,9,401.4911,653,329
24130,9,401.5082,653,329
24131,9,401.5242,653,328
24132,9,401.5407,651,327
24133,9,401.5573,651,328
24134,10,401.5739,653,330
24135,10,401.5906,654,332
24136,10,401.607,655,334
24137,10,401.6236,654,334
24138,10,401.6403,655,331
24139,10,401.6567,655,329
24140,10,401.6732,656,327
24141,10,401.6898,656,328
24142,10,401.7064,655,332
24143,10,401.723,655,334
24144,10,401.7395,654,335
24145,10,401.7561,653,335
24146,10,401.7733,654,335
24147,10,401.7892,653,335
24148,10,401.8064,654,333
24149,10,401.8224,653,331
24150,10,401.8394,653,329
24151,10,401.8555,653,328
24152,10,401.8721,654,328
24153,10,401.8889,654,328
24154,10,401.9056,654,328
24155,10,401.9218,654,328
24156,10,401.9383,655,328
24157,10,401.9551,656,328
24158,10,401.9715,654,328
24159,10,401.988,654,328
24160,10,402.0051,652,327
24161,10,402.0214,651,326
24162,10,402.0378,651,325
24163,10,402.0544,652,324
24164,10,402.071,653,323
24165,10,402.0874,653,323
24166,10,402.1041,652,326
24167,10,402.1206,658,331
24168,10,402.1377,725,379
24169,10,402.1537,785,430
24170,10,402.1704,846,486
24171,10,402.1868,938,582
24172,10,402.2035,960,610
24173,10,402.2201,965,619
24174,10,402.2366,967,620
24175,10,402.2532,968,621
24176,10,402.2697,968,622
24177,10,402.2865,968,623
24178,10,402.3028,968,623
24179,10,402.3195,970,623
24180,10,402.3368,967,627
24181,10,402.3528,941,667
24182,10,402.3691,918,703
24183,10,402.3857,875,771
24184,10,402.4022,861,796
24185,10,402.4188,855,807
24186,10,402.4355,854,809
24187,10,402.4523,854,812
24188,10,402.4685,854,813
24189,10,402.4851,854,813
24190,10,402.5016,854,813
24191,10,402.5182,855,813
24192,10,402.5348,856,814
24193,10,402.5516,858,814
24194,10,402.5679,860,810
24195,10,402.5846,866,798
24196,10,402.601,868,791
24197,10,402.6176,872,785
24198,10,402.6341,873,786
24199,10,402.6507,871,787

24200,10,402.6674,870,788
24201,10,402.6841,870,787
24202,10,402.7005,871,787
24203,10,402.717,874,786
24204,10,402.7338,875,786
24205,10,402.7504,877,786
24206,10,402.7673,877,785
24207,10,402.7832,875,784
24208,10,402.8,877,781
24209,10,402.8167,891,745
24210,10,402.8329,903,712
24211,10,402.8496,925,648
24212,10,402.8661,932,624
24213,10,402.8832,936,612
24214,10,402.8993,937,612
24215,10,402.9159,938,613
24216,10,402.9325,939,614
24217,10,402.9492,939,613
24218,10,402.9655,940,612
24219,10,402.9822,939,611
24220,10,402.9989,937,611
24221,10,403.0152,935,613
24222,10,403.0317,935,614
24223,10,403.0483,936,611
24224,10,403.0649,937,610
24225,10,403.0821,937,607
24226,10,403.098,937,608
24227,10,403.115,937,609
24228,10,403.1312,937,608
24229,10,403.1478,936,607
24230,10,403.165,935,606
24231,10,403.1809,933,607
24232,10,403.1977,933,607
24233,10,403.2143,934,608
24234,10,403.2305,934,608
24235,10,403.2472,934,606
24236,10,403.2637,934,605
24237,10,403.2803,936,604
24238,10,403.2968,937,604
24239,10,403.3136,938,603
24240,10,403.33,937,603
24241,10,403.3468,936,604
24242,10,403.3635,935,604
24243,10,403.3797,936,605
24244,10,403.3967,927,647
24245,10,403.4128,893,726
24246,10,403.4294,881,759
24247,10,403.4461,863,791
24248,10,403.4626,848,821
24249,10,403.479,848,821
24250,10,403.4957,848,821
24251,10,403.5125,848,821
24252,10,403.5289,602,682
24253,10,403.5453,703,734
24254,10,403.562,719,731
24255,10,403.5786,752,708
24256,10,403.5951,776,675
24257,10,403.6116,804,627
24258,10,403.6281,806,613
24259,10,403.6453,808,603
24260,10,403.6613,807,602
24261,10,403.6779,806,599
24262,10,403.6945,801,599
24263,10,403.711,775,597
24264,10,403.728,754,595
24265,10,403.7441,717,588
24266,10,403.7607,706,584
24267,10,403.7773,699,583
24268,10,403.7939,699,583
24269,10,403.8105,701,583
24270,10,403.8271,703,582
24271,10,403.8436,711,576
24272,10,403.8602,737,560
24273,10,403.8766,835,511
24274,10,403.8933,893,485
24275,10,403.9098,976,450
24276,10,403.9263,989,448
24277,10,403.9429,995,449
24278,10,403.9595,997,448
24279,10,403.976,997,447
24280,10,403.9927,996,445
24281,10,404.0093,995,442
24282,10,404.0258,994,442
24283,10,404.0428,995,444
24284,10,404.0589,996,444
24285,10,404.0755,996,443
24286,10,404.092,996,441
24287,10,404.1088,996,440
24288,10,404.1255,997,440
24289,10,404.1417,997,440
24290,10,404.1583,997,439
24291,10,404.175,995,437
24292,10,404.1914,992,438
24293,10,404.2076,985,444
24294,10,404.2242,981,447
24295,10,404.2411,976,451
24296,10,404.2578,976,450
24297,10,404.2746,976,448
24298,10,404.2908,976,448
24299,10,404.3076,976,451

24300,10,404.3239,975,451
24301,10,404.3405,974,452
24302,10,404.3571,974,452
24303,10,404.3738,973,453
24304,10,404.3902,974,452
24305,10,404.4069,975,453
24306,10,404.4233,975,454
24307,10,404.44,976,454
24308,10,404.4568,975,454
24309,10,404.4738,974,455
24310,10,404.4896,966,477
24311,10,404.5063,950,520
24312,10,404.5228,913,633
24313,10,404.5395,895,687
24314,10,404.5559,878,745
24315,10,404.5725,875,753
24316,10,404.589,872,756
24317,10,404.6055,871,757
24318,10,404.6223,872,757
24319,10,404.6389,873,756
24320,10,404.6556,873,755
24321,10,404.6719,872,756
24322,10,404.6884,871,760
24323,10,404.705,871,761
24324,10,404.7215,871,763
24325,10,404.7385,871,763
24326,10,404.7551,871,762
24327,10,404.7713,872,761
24328,10,404.7878,873,760
24329,10,404.8048,874,760
24330,10,404.821,874,759
24331,10,404.8375,874,759
24332,10,404.8541,873,759
24333,10,404.8706,872,759
24334,10,404.8873,872,758
24335,10,404.9038,871,759
24336,10,404.9205,872,759
24337,10,404.9378,873,759
24338,10,404.9535,875,756
24339,10,404.97,875,755
24340,10,404.9866,874,754
24341,10,405.0032,873,755
24342,10,405.02,874,755
24343,10,405.0363,874,756
24344,10,405.053,874,758
24345,10,405.0696,873,759
24346,10,405.0862,871,761
24347,10,405.1029,872,762
24348,10,405.1192,874,763
24349,10,405.1357,875,763
24350,10,405.1523,873,764
24351,10,405.1688,872,764
24352,10,405.1854,871,764
24353,10,405.202,872,765
24354,10,405.2185,874,765
24355,10,405.2355,873,766
24356,10,405.2517,872,768
24357,10,405.2683,872,768
24358,10,405.2848,869,769
24359,10,405.3014,868,769
24360,10,405.3179,868,768
24361,10,405.3345,869,768
24362,10,405.3511,872,766
24363,10,405.3677,872,766
24364,10,405.3842,871,765
24365,10,405.401,870,765
24366,10,405.4174,869,765
24367,10,405.4339,869,765
24368,10,405.4506,869,768
24369,10,405.467,861,773
24370,10,405.4836,819,786
24371,10,405.5002,790,792
24372,10,405.5168,738,801
24373,10,405.5333,724,804
24374,10,405.5499,722,805
24375,10,405.5667,722,805
24376,10,405.5832,723,803
24377,10,405.5999,721,803
24378,10,405.6162,720,803
24379,10,405.6328,717,804
24380,10,405.6494,716,804
24381,10,405.6658,723,799
24382,10,405.6826,732,792
24383,10,405.6992,758,775
24384,10,405.7157,769,769
24385,10,405.7322,782,763
24386,10,405.7487,783,763
24387,10,405.7655,792,758
24388,10,405.7819,806,747
24389,10,405.799,858,703
24390,10,405.815,885,679
24391,10,405.8324,918,645
24392,10,405.8481,919,640
24393,10,405.8649,921,636
24394,10,405.8813,921,635
24395,10,405.8982,920,636
24396,10,405.9144,920,637
24397,10,405.931,922,637
24398,10,405.9475,923,636
24399,10,405.9642,925,633

24400,10,405.9807,926,628
24401,10,405.9972,934,610
24402,10,406.0138,938,600
24403,10,406.0304,946,583
24404,10,406.0469,947,579
24405,10,406.0635,946,578
24406,10,406.0802,944,576
24407,10,406.0966,906,543
24408,10,406.1131,862,510
24409,10,406.1297,729,430
24410,10,406.1465,672,402
24411,10,406.1628,601,377
24412,10,406.1794,598,378
24413,10,406.1965,594,380
24414,10,406.2126,594,380
24415,10,406.2298,594,380
24416,10,406.2457,594,379
24417,10,406.2624,596,376
24418,10,406.2792,601,373
24419,10,406.2954,613,361
24420,10,406.3123,618,355
24421,10,406.3289,622,348
24422,10,406.3455,622,349
24423,10,406.3618,623,351
24424,10,406.3783,622,351
24425,10,406.3949,621,350
24426,10,406.4113,621,348
24427,10,406.4279,621,345
24428,10,406.4445,622,344
24429,10,406.4611,622,346
24430,10,406.4778,624,348
24431,10,406.4943,682,367
24432,10,406.511,751,392
24433,10,406.5276,853,430
24434,10,406.5439,1066,514
24435,10,406.5605,1141,545
24436,10,406.577,1205,569
24437,10,406.5937,1208,568
24438,10,406.6102,1206,569
24439,10,406.6269,1204,569
24440,10,406.6433,1204,570
24441,10,406.6599,1204,570
24442,10,406.6764,1207,571
24443,10,406.693,1208,572
24444,10,406.7096,1209,573
24445,10,406.7265,1207,573
24446,10,406.7427,1188,576
24447,10,406.7594,1173,578
24448,10,406.7758,1146,585
24449,10,406.7928,1139,587
24450,10,406.8091,1136,590
24451,10,406.8257,1136,591
24452,10,406.8423,1137,590
24453,10,406.8588,1137,589
24454,10,406.8753,1137,589
24455,10,406.8923,1135,589
24456,10,406.9084,1135,590
24457,10,406.925,1141,600
24458,10,406.9417,1154,632
24459,10,406.9582,1160,647
24460,10,406.9746,1166,666
24461,10,406.9914,1166,666
24462,10,407.0078,1167,666
24463,10,407.0244,1167,666
24464,10,407.0418,1165,665
24465,10,407.0574,1164,664
24466,10,407.0743,1163,664
24467,10,407.0906,1164,665
24468,10,407.1073,1165,666
24469,10,407.1243,1165,666
24470,10,407.1403,1165,666
24471,10,407.157,1164,665
24472,10,407.1734,1163,665
24473,10,407.19,1163,664
24474,10,407.2065,1162,662
24475,10,407.2231,1162,660
24476,10,407.2398,1162,659
24477,10,407.2573,1162,660
24478,10,407.2729,1161,662
24479,10,407.2897,1161,663
24480,10,407.306,1161,662
24481,10,407.3225,1162,661
24482,10,407.3391,1163,660
24483,10,407.3558,1162,660
24484,10,407.3723,1162,661
24485,10,407.3889,1162,661
24486,10,407.4055,1163,660
24487,10,407.4219,1163,660
24488,10,407.4386,1162,660
24489,10,407.455,1161,661
24490,10,407.4718,1160,662
24491,10,407.4882,1159,662
24492,10,407.5049,1160,663
24493,10,407.5215,1159,663
24494,10,407.538,1159,662
24495,10,407.5544,1160,662
24496,10,407.5711,1157,661
24497,10,407.5876,1131,652
24498,10,407.6045,1071,636
24499,10,407.6207,1041,629

24500,10,407.6374,1015,624
24501,10,407.6538,998,622
24502,10,407.6706,997,622
24503,10,407.6873,996,620
24504,10,407.7036,996,620
24505,10,407.7202,995,620
24506,10,407.7368,1000,620
24507,10,407.7532,1030,624
24508,10,407.77,1051,626
24509,10,407.7866,1087,630
24510,10,407.8029,1098,631
24511,10,407.8199,1100,631
24512,10,407.8362,1101,631
24513,10,407.8527,1101,633
24514,10,407.8696,1101,635
24515,10,407.8858,1101,638
24516,10,407.9023,1101,639
24517,10,407.9192,1101,640
24518,10,407.9355,1101,639
24519,10,407.9527,1100,638
24520,10,407.9687,1101,639
24521,10,407.9854,1120,646
24522,10,408.0017,1137,651
24523,10,408.0189,1168,659
24524,10,408.0349,1178,660
24525,10,408.0518,1184,658
24526,10,408.068,1186,657
24527,10,408.0847,1189,657
24528,10,408.1016,1189,657
24529,10,408.1177,1189,657
24530,10,408.1343,1189,657
24531,10,408.1509,1188,656
24532,10,408.1674,1188,656
24533,10,408.184,1187,655
24534,10,408.2005,1187,656
24535,10,408.2171,1186,669
24536,10,408.2337,1181,685
24537,10,408.2586,1177,722
24538,10,408.2669,1174,742
24539,10,408.2838,1171,755
24540,10,408.2999,1175,777
24541,10,408.3165,1175,777
24542,10,408.3331,1175,777
24543,10,408.3497,1175,777
24544,10,408.367,1086,707
24545,10,408.3829,1192,722
24546,10,408.3994,1213,750
24547,10,408.4161,1214,747
24548,10,408.4325,1212,723
24549,10,408.449,1207,701
24550,10,408.4659,1196,666
24551,10,408.4822,1196,662
24552,10,408.4987,1196,658
24553,10,408.5157,1197,659
24554,10,408.5319,1198,660
24555,10,408.5486,1199,660
24556,10,408.565,1199,658
24557,10,408.5816,1199,656
24558,10,408.5984,1198,656
24559,10,408.6147,1198,657
24560,10,408.6316,1196,659
24561,10,408.6482,1196,660
24562,10,408.6645,1198,660
24563,10,408.6812,1198,659
24564,10,408.6976,1198,656
24565,10,408.7145,1198,654
24566,10,408.7307,1196,653
24567,10,408.7475,1196,654
24568,10,408.7639,1198,654
24569,10,408.7806,1199,654
24570,10,408.7971,1199,654
24571,10,408.8136,1199,654
24572,10,408.8301,1198,655
24573,10,408.8468,1198,656
24574,10,408.8633,1199,656
24575,10,408.8799,1199,656
24576,10,408.8968,1199,655
24577,10,408.913,1199,655
24578,10,408.9297,1200,655
24579,10,408.9464,1200,656
24580,10,408.9627,1200,656
24581,10,408.9792,1200,656
24582,10,408.9959,1199,656
24583,10,409.0124,1200,656
24584,10,409.029,1199,656
24585,10,409.0455,1194,656
24586,10,409.0623,1176,668
24587,10,409.0786,1167,674
24588,10,409.0953,1158,681
24589,10,409.1117,1149,686
24590,10,409.1283,1148,686
24591,10,409.1448,1145,686
